DATE,ADDRESS,CITY,STATE,POSTAL,AGENT,BROKER,PRICE,LATITUDE,LONGITUDE
10-09-2025,4489 GLADEBROOK CRESCENT,Mississauga (East Credit),Ontario,L5V1E5,CARLO ANTONIO SCONZA,KELLER WILLIAMS REFERRED URBAN REALTY,"$1,399,000.00",43.585927,-79.6681093
10-09-2025,4043 SAIDA Street,N/A,Ontario,L5M2S8,N/A,N/A,"$1,179,900.00",43.53738,-79.739
10-09-2025,268 MINEOLA ROAD E,Mississauga (Mineola),Ontario,L5G2G3,ADAM MONIZ,MAX REALTY,"$1,658,880.00",43.5673689,-79.584071
10-09-2025,305 - 1195 GOOSEBERRY LANE,Mississauga (Mineola),Ontario,L5G0B7,PETER PAPOUSEK,MAX REALTY,"$1,189,850.00",43.5723926,-79.5721913
10-09-2025,5580 MIDDLEBURY DRIVE,Mississauga (Central Erin Mills),Ontario,L5M5G8,N/A,GFA REALTY,"$1,480,000.00",43.5674678,-79.7248425
10-09-2025,1969 BALSAM AVENUE,Mississauga (Clarkson),Ontario,L5J1L3,N/A,ROYAL LEPAGE SIGNATURE REALTY,"$1,579,900.00",43.5156431,-79.6323499
10-09-2025,8 - 4020 BRANDON GATE DRIVE,Mississauga (Malton),Ontario,L4T3W8,N/A,S CHOICE REALTY,"$699,000.00",43.7320069,-79.6352975
10-09-2025,542 LANA TERRACE,Mississauga (Mississauga Valleys),Ontario,L5A3B3,CHIRAG JINDAL,ROYAL LEPAGE CERTIFIED REALTY,"$869,900.00",43.5954617,-79.6085521
10-09-2025,989 LEDBURY CRESCENT,Mississauga (East Credit),Ontario,L5V2R3,HIEN THI NGUYEN,RIGHT AT HOME REALTY,"$1,099,000.00",43.604686,-79.6928199
10-09-2025,3704 - 4065 CONFEDERATION PARKWAY,Mississauga (City Centre),Ontario,L5B0L4,N/A,DISCOVER REAL ESTATE,"$675,000.00",43.5865052,-79.6465005
10-09-2025,1122 HIGHGATE PLACE,Mississauga (Rathwood),Ontario,L4W3H4,MICHELLE GILMOUR,"4310 SHERWOODTOWNE BLVD 303DMISSISSAUGA, Ontario L4Z4C4","$899,900.00",43.6242631,-79.6177489
10-09-2025,446 ORANO AVENUE,Mississauga (Mineola),Ontario,L5G2B9,ALPER POLAT,"130 KING ST W UNIT 1900BTORONTO, Ontario M5X1E3","$1,000,000.00",43.5709241,-79.5794852
10-09-2025,706 - 75 KING STREET E,Mississauga (Cooksville),Ontario,L5A4G5,N/A,EXP REALTY,"$399,000.00",43.5804849,-79.6131565
10-09-2025,2015 STANFIELD ROAD,Mississauga (Lakeview),Ontario,L4Y1R2,ROBERT MAGNOWSKI,ROYAL LEPAGE SIGNATURE REALTY,"$1,299,998.00",43.593348,-79.5734668
10-09-2025,6070 PRAIRIE CIRCLE,Mississauga (Lisgar),Ontario,L5N5Z5,AARON FERGUSON,ROYAL LEPAGE MEADOWTOWNE REALTY,"$1,249,000.00",43.5646624,-79.7524183
10-09-2025,3570 SOUTHWICK STREET,Mississauga (Churchill Meadows),Ontario,L5M7N8,INGY DOSS,MAX SUCCESS REALTY,"$1,149,000.00",43.5401607,-79.7255405
10-09-2025,1270 SAGINAW CRESCENT,Mississauga (Lorne Park),Ontario,L5H4B8,MOHAMED TAREK ASFARI,CITYSCAPE REAL ESTATE,"$2,540,000.00",43.5400431,-79.6282881
10-09-2025,5370 MALLORY ROAD,Mississauga (Churchill Meadows),Ontario,L5M0J3,N/A,MAX REAL ESTATE,"$1,469,900.00",43.5422385,-79.7385654
10-09-2025,220 BURNHAMTHORPE Road W Unit# 1004,N/A,Ontario,L5B4N4,KHALID ZAFFAR,KINGSWAY REAL ESTATE BROKERAGE,"$599,900.00",43.58875769,-79.64028245
10-09-2025,46 - 2155 SOUTH MILLWAY,Mississauga (Erin Mills),Ontario,L5L3S1,JENNY DOWD,SUMMIT REALTY,"$833,000.00",43.5419083,-79.6779247
10-09-2025,N/A,N/A,Ontario,N/A,N/A,N/A,N/A,N/A,N/A
10-09-2025,14 - 4991 RATHKEALE ROAD,Mississauga (East Credit),Ontario,L5V2G9,VENKAT PERUGU,RIGHT AT HOME REALTY,"$839,000.00",43.5773375,-79.6833613
10-09-2025,5551 RIVER GROVE AVENUE,Mississauga (East Credit),Ontario,L5M3T6,N/A,CAYMAN MARSHALL INTERNATIONAL REALTY,"$1,699,000.00",43.5849768,-79.7034607
10-09-2025,43 MISSISSAUGA ROAD S,Mississauga (Port Credit),Ontario,L5H2H3,NATALIE MARIE COSTELLO,CAYMAN MARSHALL INTERNATIONAL REALTY,"$2,699,900.00",43.5464106,-79.5862205
10-09-2025,1723 CHALKDENE GROVE,Mississauga (Rathwood),Ontario,L4W2C2,MARTINA CAHILL,MAX REAL ESTATE,"$1,250,000.00",43.6364505,-79.604528
